brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Mrs. Budd's,"White Meat Chicken Pie, with Broccoli, Carrots and Pearl Onions.",51db3826176fe9790a89b77e,51c3f8fc97c3e6dfa4deff9a,78185000153,2,"with Broccoli, Carrots and Pearl Onions.","Chicken Broth, White Chicken Meat (Chicken Breast Meat, Water, Modified Food Starch, Salt and Sodium Phosphate), Wheat Flour, Partially Hydrogenated Vegetable Shortening (Soybean and Cottonseed Oils), Broccoli, Carrots, Water, Pearl Onions, Modified Food Starch, Rendered Chicken Fat, Margarine (Liquid Soybean Oil, Partially Hydrogenated Soybean Oil, Water, Salt, Lecithin, Mono & Diglycerides, Sodium Benzoate Added as a Preservative), Salt, Sugar, Sweet Dry Whey, Monosodium Glutamate, Flavorings, Hydrolyzed Soy Protein, Maltodextrin, Nonfat Dry Milk, Sodium Propionate, Autolyzed Yeast, Dried Whole Eggs, Dehydrated Chicken Broth, Spices, Dehydrated Chicken Meat, Lecithin, and Soluble Turmeric.",310,140,16,5,null,null,null,35,900,30,2,3,12,30,8,8,10,null,2,1,cup,170,170,g,null,2014-11-24T20:24:24+00:00,null
El Mexicano,"Beans, Pinto",51db37b6176fe9790a89893b,51d2fbbecc9bff111580de97,42743250526,2,Pinto,Pinto Beans.,60,0,0,0,0,null,null,0,15,22,14,1,7,0,0,4,15,null,25,36,G,36,36,g,null,2014-11-24T20:24:24+00:00,null
High Country Kombucha,"Kombucha, Elderberry Hibiscus",51db37ce176fe9790a899c75,51c401df97c3e6dfa4df412b,59818002058,2,Elderberry Hibiscus,"Organic Kombucha Tea (Kombucha is a Culture, Fermented in a Base of Purified Water, Organic Tea and Organic Sugar Cane) and The Following Organic Herbs: Elderberry, Hibiscus, Orange Peel, Chamomile and Vanilla Bean. Organic Acids: Glucuronic Acid, Lactic Acid, Acetic Acid. Probiotic Content: Gluconacetobacter Obediens, Dekkera Anormala, Dekkera Bruxellensis, Z. Kornbuchaensis. Gluten free.",15,0,0,0,null,null,null,0,0,3,null,2,0,0,0,0,0,null,4,4,oz,113,113,g,null,2014-11-24T20:24:24+00:00,null
Trident,"Layers Sugar Free Gum, Jelly Bean",51db37c9176fe9790a8996c7,5512efbfb4cb348022279e82,12546005869,2,null,null,2.5,null,0,null,null,null,null,null,0,2,null,0,0,null,null,null,null,null,14,1,stick,2.5,2.5,g,https://d1r9wva3zcpswd.cloudfront.net/5512f00c43f0e8463a131cf2.jpeg,2015-03-25T17:27:41+00:00,null
Great Value,Beef Burgers,51db37b1176fe9790a898466,5541df0bf796046c4f223b8e,78742088679,2,null,null,290,200,23,9,2,0.5,10,90,85,0,0,0,19,0,0,2,10,null,8,1,burger,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/5541dfcaf425da534fbf6038.jpeg,2015-04-30T13:49:40+00:00,null
Eat Smart,"Kettle Pops, Light Caramel Glaze, Pre-Priced",51db37c2176fe9790a8991bc,51c3d66797c3e6d8d3b53ce2,77975028599,2,"Light Caramel Glaze, Pre-Priced","Organic Rice Syrup, Organic Popcorn, Organic Sugar, Organic Molasses, 100% Expeller Pressed Organic Canola Oil, Baking Soda, Salt, Soy Lecithin (an Emulsifier), Natural Flavor.",110,10,1,0,null,null,null,0,70,26,1,9,0,0,0,0,2,null,8,0.66,cup,28,28,g,null,2014-11-24T20:24:24+00:00,null
Mateos,"Gourmet Salsa, Verde, Medium",51db37c1176fe9790a899120,51c3ce6f97c3e6d8d3b4fb29,89495569070,2,"Verde, Medium","Tomatillos (Green Tomatillos, Water, Salt, Citric Acid), Diced Tomatoes (Diced Tomatoes, Tomato Juice, Tomato Puree, Calcium Chloride, Citric Acid), Water, Yellow Onions, Green Onions, Sugar, Fresh Cilantro, Jalapeno Peppers, Cumin, Serrano Peppers, Salt, Dehydrated Garlic, Garlic Powder, Jalapeno Powder, Spices.",10,0,0,0,0,null,null,0,105,2,1,1,0,2,6,0,2,null,14,2,tbsp,32,32,g,null,2014-11-24T20:24:24+00:00,null
Divine Organics,Sun-Dried White Mulberries,53d7f4c4882b207a4b5243be,55578538f6274ff415e61103,658263084390,2,null,null,91,7,0,0,0,null,null,0,24,21,3,12,3,0,130,8,20,null,7,1,oz,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/55578678b14515de20169cd2.jpeg,2015-05-16T18:03:36+00:00,null
Hannaford,Orange Juice,51db37b1176fe9790a898440,51c3d56997c3e6d8d3b53524,41268111268,2,null,"Filtered Water, Orange Juice Concentrate.",110,0,0,null,null,null,null,null,0,27,null,23,1,0,110,2,0,null,8,8,fl oz,226,226,g,null,2014-11-24T20:24:24+00:00,null
Parent's Choice,"Squeezable Fruit, Apple Cherry & Pear",51db3818176fe9790a89b45a,54fcf6b435367ad15414c8f8,78742031460,2,null,null,100,0,0,0,0,null,null,0,10,22,2,19,0.5,0,60,0,0,null,1,1,pouch,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/54fcf77747514c0630455038.jpeg,2015-03-09T01:29:27+00:00,null
Van de Kamp's,"Crispy Halibut Fillets, Golden Battered",51db37cb176fe9790a8998a9,51c3640397c3e69de4b04066,19600920007,2,Golden Battered,"Halibut, Water, Wheat Flour, Partially Hydrogenated Soybean Oil with TBHQ Added to Protect Flavor, Degermed Yellow Low Corn Flour, Enriched Wheat Flour (Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid), Corn Starch-Modified, Sugar, Leavening (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate), Salt, Monosodium Glutamate, Dextrose, Sodium Tripolyphosphate (to Retain Fish Moisture).",240,110,12,2,null,null,null,25,590,22,0,4,11,0,0,0,6,null,3,3,fillets,null,null,null,null,2014-11-24T20:24:24+00:00,null
Unknown,"Bagels, Multigrain",526831133203b9c3390001c8,55dcb7f72583292d434c020e,773889744883,2,null,null,290,27,3,0.3,0,null,null,0,670,57,4,4,11,0,0,4,25,null,4,1,bagel,113,113,g,https://d1r9wva3zcpswd.cloudfront.net/55dcb71ed6f26e3a5f192659.jpeg,2015-08-25T18:42:38+00:00,null
S&B,"Sauce with Vegetables, Golden Curry, Hot",51db37ce176fe9790a899c64,51c3d27397c3e6d8d3b51cc9,74880040623,2,"Golden Curry, Hot","Water, Vegetables (Potato, Onion, Carrot), Edible Oils (Palm Oil, Canola Oil), Wheat Flour, Sugar, Curry Powder, Hydroxypropyl Distarch Phosphate, Salt, Yeast Extract, Spices, Caramel, Apple Vinegar, Dried Bonito Powder, Dextrin.",240,130,15,9,0,null,null,0,1100,25,3,7,3,6,4,6,6,null,1,1,package,230,230,g,null,2014-11-24T20:24:24+00:00,null
Giant,French Artisan Rolls,51db37b0176fe9790a8983ef,555108a67ce194cc23122f52,688267142840,2,null,null,140,0,0,0,0,0,0,0,280,28,1,0,4,0,0,0,10,null,8,1,roll,51,51,g,https://d1r9wva3zcpswd.cloudfront.net/555109aefbe9f142769305cc.jpeg,2015-05-11T19:57:35+00:00,null
Cali Water,Cactus Water with Prickly Pear,55e173936b1ac4a57854c33c,55e1718e4c1e6b860776fd18,853240004013,2,null,null,35,0,0,0,0,null,null,0,15,9,0,9,0,0,8,null,null,null,1,1,box,null,null,g,https://d1r9wva3zcpswd.cloudfront.net/55e1722b0d66a92f2e61af3d.jpeg,2015-08-29T08:49:47+00:00,null
Rockstar,Energy Drink,51db37c9176fe9790a899674,51d37a47cc9bff5553aa9e43,818094002189,2,null,"Carbonated Water, Citric Acid, Taurine, Natural Flavors, Sodium Citrate, Caffeine, Calcium Lactate Pentahydrate, Benzoic Acid, Sorbic Acid, Acesulfame Potassium, Sucralose, Panax Ginseng Extract, Pantothenic Acid, Niacinamide, Purple Sweet Potato Juice Extract, Black Carrot Juice Concentrate, Elderberry Extract Concentrate, Pyridoxine Hydrochloride, Red Cabbage Juice Concentrate, Folic Acid, Cyanocobalamin.",10,0,null,null,null,null,null,null,60,0,null,0,null,0,0,2,0,null,1,12,oz,null,null,null,null,2014-11-24T20:24:24+00:00,null
Oberto,"Pork Jerky, BBQ Seasoned",51db37d1176fe9790a899dff,51c36dcf97c3e69de4b08dab,28400089210,2,BBQ Seasoned,"Pork, Brown Sugar, Less than 2% of Salt, Corn Syrup, Hydrolyzed Soy Protein, Tomato Paste, Flavorings, Pineapple Juice Concentrate, Natural Smoke Flavor, Vinegar, Water, Molasses, Soy Sauce (Soybeans, Wheat, Salt), Caramel Color, Citric Acid and Sodium Nitrite.",80,15,1,0,0,null,null,30,480,8,0,6,10,2,2,2,4,null,3,1,oz,28,28,g,null,2014-11-24T20:24:24+00:00,null
Frys,"Milk, 2% Reduced Fat",546a060ceda64c0d6205638a,5516575b9c025e0c661edc31,10160169,2,null,null,120,45,5,3,0,null,null,20,120,12,0,11,8,10,4,30,0,null,16,8,fl oz,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/5516580745e93bb11877a00e.jpeg,2015-03-28T07:28:07+00:00,null
Wholesome Goodness,Tuxedo Snack Mix,545a52d45f06a919304b001a,5505dcc077b7c8f122a48282,815506012767,2,null,null,185,99,11,5,0,null,null,0,13,17,3,13,5,0,0,3,6,null,null,1,package,35,35,g,https://d1r9wva3zcpswd.cloudfront.net/5505dd26d7f7f1a6470ad6fd.jpeg,2015-03-15T19:27:35+00:00,null
Optimum,100% Whey Protein,51db382c176fe9790a89b860,546a0936eda64c0d62056475,748927026245,2,null,null,120,15,1.5,1,0,null,null,40,110,3,null,2,24,0,0,8,0,null,28,1,rounded scoop,32,32,g,https://d1r9wva3zcpswd.cloudfront.net/546a11a82bc0b27b2a676e18.jpeg,2014-11-24T20:24:24+00:00,null
Pressed Juicery,"Juice Beverage, Apple Lemon Ginger Cayenne Pepper",54eee7131b52a5fa69462d03,551b11461728185b403f4f59,813121020266,2,null,null,110,0,0,0,0,null,null,0,10,27,2,20,1,0,8,2,6,null,2,1,cup,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/551b13f092163c543948f0ef.jpeg,2015-03-31T21:38:56+00:00,null
Raley's,Mini Lemon Bundt Cake,51db37b1176fe9790a89846e,55d85136fa82eaa458347291,46567606392,2,null,null,210,80,9,2.5,0,null,null,50,70,28,0,19,4,2,0,6,2,null,8,1,mini lemon bundt cake,null,null,g,https://d1r9wva3zcpswd.cloudfront.net/55dc297fbd3e938e7a5d4f1c.jpeg,2015-08-25T08:38:23+00:00,null
Nice!,"Cashews, Halves & Pieces Roasted",51db37b1176fe9790a8984d3,54e20d1ef66ebbec41282f00,49022699762,2,null,null,190,130,14,2.5,0,null,null,0,60,9,0.5,2,5,0,0,0,10,null,8,0.25,cup,30,30,g,https://d1r9wva3zcpswd.cloudfront.net/54e76728ae3665147a594ebf.jpeg,2015-02-20T16:56:08+00:00,null
La Mexicana Grocery,"Salsa, Original Gourmet, Mild",52ceb0e6bba524e06800002c,51c3644497c3e69de4b0425d,20113001725,2,"Original Gourmet, Mild","Fresh Diced Tomatoes, Fresh Chopped Assorted Peppers, Fresh Diced Onions, Fresh Chopped Cilantro, Salt, Crushed Garlic, Citric Acid, Assorted Spices, Sodium Metabisulfite (as a Preservative), Ascorbic Acid, Potassium Sorbate (as a Preservative), Sodium Benzoate (as a Preservative).",10,0,0,null,null,null,null,0,75,0,null,1,0,2,2,0,0,null,48,2,tbsp,30,30,g,null,2014-11-24T20:24:24+00:00,null
Carb Boom,"Energy Gel, Banana Peach",51db37cd176fe9790a899b05,51c3cf0f97c3e6d8d3b50070,956609210,2,Banana Peach,"Maltodextrin (Complex Carbohydrate), Water, Banana Puree, Peach Puree, Citric Acid, Potassium Citrate, Sea Salt, Potassium Sorbate and Sodium Benzoate (to Retard Spoilage).",110,0,0,null,null,null,null,null,50,27,null,3,0,0,0,0,0,null,24,1,pack,null,null,null,null,2014-11-24T20:24:24+00:00,null
Eggo,"Pancakes, Chocolate Chip",51db37b2176fe9790a89859b,51d2ff95cc9bff111580f85b,38000396731,2,Chocolate Chip,"Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Water, Sugar, Soybean and/or Canola Oil, Semisweet Chocolate (Sugar, Chocolate, Cocoa Butter, Dextrose, Chocolate Processed with Alkali, Soy Lecithin, Artificial Flavor), Eggs, Contains 2% or Less of Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Salt, Fructose, Artificial Flavor, Whey, Cornstarch, Soy Lecithin. Vitamins and Minerals: Vitamin A Palmitate, Reduced Iron, Niacinamide, Vitamin B12, Vitamin B6 (Pyridoxine Hydrochloride), Vitamin B1 (Thiamin Hydrochloride), Vitamin B2 (Riboflavin).",270,80,9,2,0,null,null,15,490,42,1,12,6,20,0,8,25,null,4,3,pancakes,105,105,g,null,2014-11-24T20:24:24+00:00,null
Private Selection,Shortbread Tartlet Shells,51db37ca176fe9790a89980c,52cd677b9d9d726f6c00106e,11110906021,2,null,null,120,50,6,4,0,null,null,25,30,15,0,11,2,6,0,0,0,null,5,3,pastry cups,23,23,g,https://d1r9wva3zcpswd.cloudfront.net/536a7234a0ec3c690b54352e.jpeg,2014-11-24T20:24:24+00:00,null
La Duena,Medallones Poblanos,54c9d87fca1c9b3541c0797a,55e6630de32eb37f7ac4b265,47918030231,2,null,null,370,100,22,5,0,12,4,12,650,32,2.5,0,4,4,20,200,4,null,2.5,6,pieces,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/55e6639b09733f017a3fdeb2.jpeg,2015-09-02T02:49:00+00:00,null
Market Pantry,100% Pure Squeezed Orange Juice,51db37b0176fe9790a8983f1,551a3052abb7a227746ecc6a,14027178,2,null,null,110,0,0,0,0,null,null,0,0,27,0,21,2,0,120,35,0,null,7,8,fl oz,null,240,ml,https://d1r9wva3zcpswd.cloudfront.net/551a30ad7122d49b56944405.jpeg,2015-03-31T05:29:17+00:00,null
Marketside,"Dressing, Sesame Ginger Dressing All Natural",51db37c9176fe9790a899692,51c5476497c3e6efadd5ee62,81131387956,2,Sesame Ginger Dressing All Natural,"Soybean Oil,High Fructose Corn Syrup, Water, Soy Sauce (Water, Soybeans, Wheat, Salt), Vinegar, Sesame Oil, Sugar, Peach Or Apricot Puree, Rice Vinegar, Cultured Dextrose, Lemon Juice from Concentrate, Food Starch-Modified, Dehydrated Red Bell Pepper, Sesame Seeds, Xanthan Gum, Salt, Onion, Garlic, Citric Acid, Spice. Contains: Soy, Sesame Seeds, Wheat.",100,70,8,1,0,null,null,0,220,7,0,6,0,0,0,0,0,null,14,30,G,30,30,g,null,2014-11-24T20:24:24+00:00,null
Green Giant,Steamers Basil Vegetable Medley,51db37b9176fe9790a898b75,51c3641297c3e69de4b040d6,20000277967,2,null,"Cauliflower, Carrots, Sugar Snap Peas, Water, Butter, Salt, Corn Starch, Gelatin, Sugar, Fructose, Basil, Spice, Xanthan Gum, Natural Flavor, Annatto Extract Color.",45,5,0.5,0,0,null,null,0,270,10,2,5,2,40,25,2,2,320,2.5,1.33,cup frozen,133,133,g,https://d1r9wva3zcpswd.cloudfront.net/536a81fcc0d75149309c5dbf.jpeg,2014-11-24T20:24:24+00:00,null
Taste of Inspirations,"Nonfat Greek Yogurt, Classic Cherry Fruit on the Bottom",51db37b3176fe9790a8986a1,54efe40ac61cb7fa6ed61da5,725439980012,2,null,null,120,0,0,0,null,null,null,10,75,20,0.5,19,12,null,null,15,null,null,1,1,container,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/54f1df7cd6d8f76302dbcd74.jpeg,2015-02-28T15:32:12+00:00,null
Food Club,Ziti,51db37b9176fe9790a898bd7,51c3727597c3e69de4b0b62e,36800040106,2,null,"Durum Wheat Semolina (Enriched with Iron [Ferrous Sulfate] and B Vitamins [Niacin, Thiamin Mononitrate, Riboflavin, Folic Acid]).",200,10,1,0,0,null,null,0,0,41,2,2,7,0,0,0,10,null,8,0.67,cup dry,56,56,g,null,2014-11-24T20:24:24+00:00,null
Goodbites,Raw Chocolate Truffle,53fde027852aa5123bb6dcce,53fde028852aa5123bb6dcd0,858891004016,2,null,null,200,90,10,5,0,null,null,0,130,20,7,7,8,160,0,6,25,null,5,8,truffles,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/53fde15b852aa5123bb6dd71.jpeg,2014-11-24T20:24:24+00:00,null
Rudy's Farm,Sausage Biscuits,51db37b2176fe9790a8985a6,5524f4aac8c4d9232bc36b37,44500100341,2,null,null,280,170,19,7,0,null,null,25,430,21,1,2,7,0,6,10,8,null,10,1,package,78,78,g,https://d1r9wva3zcpswd.cloudfront.net/5524f5298856aa31686b4081.jpeg,2015-04-08T09:30:17+00:00,null
Popcornopolis,"Popcorn, Almond Caramel",539c866d4439661902a3d15a,5522c29a1b191740659ac725,897549000703,2,null,null,140,60,7,4.5,0,null,null,2.5,95,19,0.5,14,0.5,0,0,0,0,null,11,1,oz,28,28,g,https://d1r9wva3zcpswd.cloudfront.net/5522c3ea6a45a2215a2aab7d.jpeg,2015-04-06T17:35:38+00:00,null
The Deli Counter,"Turkey Breast, Oven Roasted Shaved, with Broth",51db37e7176fe9790a89a71a,51c3668e97c3e69de4b05340,21130153206,2,"Oven Roasted Shaved, with Broth","Turkey Breast Meat, Turkey Broth, Contains 2% or Less Potassium Lactate, Salt, Modified Food Starch, Sugar, Sodium Phosphate, Carrageenan, Sodium Diacetate, Flavoring.",50,5,0,0,0,null,null,20,420,1,0,0,10,0,0,0,0,null,4,2,oz,56,56,g,null,2014-11-24T20:24:24+00:00,null
ShopRite,"Pork Roll, Mild, Hickory Smoked, Slices",51db37b9176fe9790a898bdb,51c37afc97c3e6d272824755,41190453498,2,"Mild, Hickory Smoked, Slices","Pork, Salt, Sugar, Sodium Nitrate, Sodium Nitrite.",130,100,11,5,null,null,null,25,450,1,null,1,6,0,0,0,2,null,4,1,slice,42,42,g,null,2014-11-24T20:24:24+00:00,null
Bread du Jour,Italian Rolls,51db37c5176fe9790a899399,51c3ebcb97c3e6de73cba64e,45000140172,2,null,"Enriched Wheat Flour [Flour, Barley Malt, Ferrous Sulfate (Iron), B Vitamins (Niacin, Thiamine Mononitrate (B1), Riboflavin (B2), Folic Acid)], Water, Yeast, High Fructose Corn Syrup. Contains 2% or Less of: Wheat Gluten, Salt, Soybean Oil, Calcium Sulfate, Dough Conditioners (May Contain: Sodium Stearoyl Lactylate, Ethoxylated Mono and Diglycerides, Mono and Diglycerides, Calcium Iodate, Sorbic Acid, Calcium Dioxide and/or Datem), Yeast Nutrients (May Contain: Monocalcium Phosphate, Ammonium Chloride, Calcium Carbonate and/or Ammonium Sulfate), Cornstarch, Wheat Starch, Guar Gum, Whey, Soy Flour, Vinegar, Enzymes, Calcium Propionate (to Retain Freshness), Soy Lecithin.",90,5,0,0,0,null,null,0,190,16,0,2,3,0,0,4,6,null,10,1,roll,35,35,g,null,2014-11-24T20:24:24+00:00,null
Dean's,Mint Chocolate Chip Ice Cream,51db37b9176fe9790a898bcd,55853b3df448376823bbedfb,41904770,2,null,null,150,80,9,6,0,null,null,30,50,17,0,13,2,6,0,8,0,null,12,0.5,cup,68,68,g,https://d1r9wva3zcpswd.cloudfront.net/55853ce395653a350fa23e24.jpeg,2015-06-20T10:13:56+00:00,null
Casa Cardenas,Assorted Gelatin,54fe80e9728292121dd4d323,5557864ef22407741e5efa53,811371701034,2,null,null,25,0,0,0,0,null,null,0,30,5,0,5,1,0,0,0,0,null,1,1,unit,99,99,g,https://d1r9wva3zcpswd.cloudfront.net/55578697b14515de20169ce1.jpeg,2015-05-16T18:04:07+00:00,null
My Essentials,Chunk Light Tuna,51db37c5176fe9790a899358,54f956d311a47717226b63fc,725439100021,2,null,null,50,5,0.5,0,0,0,0,30,180,0,0,0,13,0,0,0,2,null,5,0.25,cup drained,56,56,g,https://d1r9wva3zcpswd.cloudfront.net/54fa00d22c6fce8f65a2f6fa.jpeg,2015-03-06T19:32:35+00:00,null
Chobani,"Yogurt, Greek, Low-Fat, Very Berry",51db37bb176fe9790a898da9,51d37629cc9bff5553aa9292,894700010496,2,"Greek, Low-Fat, Very Berry","Cultured Pasteurized Nonfat Milk, Cream, Evaporated Cane Juice, Strawberries, Blueberries, Blackberries, Raspberries, Locust Bean Gum, Natural Flavors, Pectin, Fruit and Vegetable Juice [for Color], Vitamin D3. Live and Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Bifidus and L. Casei. Gluten free.",100,15,1,1,0,null,null,5,40,13,0,13,8,0,4,10,0,null,4,1,cup,100,100,g,null,2014-11-24T20:24:24+00:00,null
Schwan's Butcher's Cut,USDA Choice Top Sirloin Steak,54e299ac7704216e2658a175,54e2998b15111ec8709e7d72,54200009202,2,null,null,360,210,23,11,0,null,null,100,580,0,0,0,36,0,0,4,15,null,4,7,oz,198,198,g,https://d1r9wva3zcpswd.cloudfront.net/54e769c6014162fb234f4d48.jpeg,2015-02-20T17:07:18+00:00,null
Edy's,"Ice Cream, Peanut Butter with Peanut Butter Cookie Pieces",51db37e9176fe9790a89a7b2,51c3c9fd97c3e6d8d3b4d6f0,41548106526,2,Peanut Butter with Peanut Butter Cookie Pieces,"Milk, Skim Milk, Cream, Peanut Butter Cookies [Enriched Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folate), Margarine (Partially Hydrogenated Soybean Oil, Water, Salt, Lecithin, Mono and Diglycerides, Beta Carotene Color, Artificial Butter Flavor, Vitamin A Palmitate), Maltitol, Sorbitol, Peanuts, Peanut Butter (Peanuts, Hydrogenated Canola and Cottonseed Oils, Salt), Polydextrose, Maltodextrin, Leavening (Ammonium Bicarbonate, Sodium Bicarbonate), Whey Protein, Natural and Artificial Flavor, Datem, Sodium Stearoyl Lactylate, Soy Lecithin, Aspartame, Hydrogenated Cottonseed Oil, Caramel Color, Acesulfame Potassium, Annatto Color], Peanuts, Maltodextrin, Sorbitol, Polydextrose, Whey Protein, Mono and Diglycerides, Salt, Cellulose Gum, Partially Hydrogenated Palm Oil, Cellulose Gel, Yellow No. 5, Carrageenan, Red No. 40, Yellow No. 6, Aspartame, Sunett Acesulfame Potassium, Vitamin A Palmitate, Blue No. 1.",130,50,6,2,null,null,null,10,85,15,1,4,4,8,0,6,0,null,16,62,g,62,62,g,null,2014-11-24T20:24:24+00:00,null
Nice!,"Chicken Wings, Sriracha Glazed",51db37b1176fe9790a8984d3,55a8db384c9567744848e3cf,49022845657,2,null,null,170,90,10,2.5,0,null,null,65,670,5,0,2,14,2,0,0,2,null,2.5,3,oz edible portion,84,84,g,https://d1r9wva3zcpswd.cloudfront.net/55abb71ae6718bfc489c8a97.jpeg,2015-07-19T14:41:30+00:00,null
PotatoFinger,"Potato Chips, Lightly Salted",51db37d7176fe9790a899fa7,51c373f897c3e69de4b0c327,37578801005,2,Lightly Salted,"Potatoes, Vegetable Oil (Contains One or More of the Following: Cottonseed, Canola, or Corn Oil), and Salt.",150,90,9,3,0,null,null,0,115,16,0,0,2,0,20,0,4,null,8,1,oz,28,28,g,null,2014-11-24T20:24:24+00:00,null
Tofurky,"Meatless Kielbasa, Meat Free",51db37d2176fe9790a899e46,558817ee959361a7172204fd,25583006133,2,null,null,240,108,12,1,0,null,null,0,660,8,1,1,26,0,0,4,2,null,null,1,sausage,100,100,g,https://d1r9wva3zcpswd.cloudfront.net/55881846959361a717220510.jpeg,2015-06-22T14:14:30+00:00,null
Nature's Own,"Sandwich Rounds, 100% Whole Grain",51db37b9176fe9790a898bf4,51c3ec3497c3e6de73cba8ff,72250005333,2,100% Whole Grain,"Whole Wheat Flour, Water, Sugar, Yeast, Oat Fiber, Wheat Gluten, Contains 2% or Less of Each of the Following: Modified Wheat Starch, Flax Seeds, Salt, Cultured Wheat Starch, Wheat Bran, Soybean Oil, Whole Rye Flour, Rolled Oats, Dough Conditioners (Contains One or More of the Following: Sodium Stearoyl Lactylate, Calcium Stearoyl Lactylate, Monoglycerides and/or Diglycerides, Calcium Peroxide, Calcium Iodate, DATEM, Ethoxylated Mono- and Diglycerides, Azodicarbonamide), Barley Flakes, Triticale Flour, Sunflower Seed, Vinegar, Whole Amaranth Seeds, Monocalcium Phosphate, Guar Gum, Calcium Sulfate, Amaranth, Hulled Whole Millet, Kamut, Whole Brown Rice Flour, Whole Buckwheat Flour, Whole Milled Corn, Whole Spelt Flour, Reb A (Natural Stevia Leaf Sweetener).",100,10,1,0,0,null,null,0,180,20,5,3,5,0,0,4,6,null,8,1,roll,43,43,g,https://d1r9wva3zcpswd.cloudfront.net/536b86024a749f8f03d60260.jpeg,2014-11-24T20:24:24+00:00,null
Campbell's,"Skillet Sauces, Sesame Chicken",51db37c1176fe9790a89907e,558c7c3ff3824e0f4cc1f799,51000219176,2,null,null,40,0,0,0,0,null,null,0,330,9,0,7,1,0,0,0,0,null,5,0.25,cup,null,60,ml,https://d1r9wva3zcpswd.cloudfront.net/558c7e4f4a3123a843fe5d8b.jpeg,2015-06-25T22:18:55+00:00,null
Giant,"Cottage Cheese, Small Curd, 1% Milkfat, Lowfat, No Salt Added",51db37b0176fe9790a8983ef,51c3c13897c3e6d8d3b495af,88267020405,2,"Small Curd, 1% Milkfat, Lowfat, No Salt Added","Cultured Nonfat Milk, Nonfat Milk, Cream, Salt, Grade A Whey, Food Starch - Modified, Artificial Color, Guar Gum, Sorbic Acid (A Mold Inhibitor), Citric Acid, Carrageenan, Natural and Artificial Flavors, Locust Bean Gum, Phosphoric Acid, Sodium Phosphate, Potassium Phosphate, Vitamin A Palmitate, Enzymes.",85,10,1,0,null,null,null,10,55,5,0,4,13,4,0,10,0,null,3,0.5,cup,113,113,g,null,2014-11-24T20:24:24+00:00,null
Wegmans,"Swiss Crepes, Assorted",51db37b0176fe9790a8983be,51c3b98b97c3e6d8d3b45a71,77890215210,2,Assorted,"Sugar, Wheat Flour, Hazelnuts, Vegetable Oil (Palm Kernel, Palm, Coconut), Cocoa Liquor, Cocoa Powder, Egg Yolk Powder (from Free-Range Organic Eggs), Emulsifying Agent: Soya Lecithin, Roasted Coffee, Salt, Natural Vanilla Flavor.",160,80,9,4,0,null,null,0,35,19,0,4,2,0,0,0,2,null,5,8,pieces,32,32,g,null,2014-11-24T20:24:24+00:00,null
Private Selection,"Swiss Bar, Milk Chocolate with Ground Hazelnuts",51db37ca176fe9790a89980c,54ffb608a01741104ab54be9,41260365171,2,null,null,220,130,14,8,0,null,null,5,40,21,0.5,20,3,0,0,10,2,null,2.5,4,squares,40,40,g,https://d1r9wva3zcpswd.cloudfront.net/54ffb61c1dc37409547d660f.jpeg,2015-03-11T03:27:24+00:00,null
Brew Pub Pizza,"Lotzza Motzza, Sausage & Pepperoni Pizza",545b8d3b4a618f2d449d3188,553c5fc5a5f3288d0dd132c6,42197003228,2,null,null,400,190,22,10,0.5,null,null,60,960,29,2,3,23,4,20,35,15,null,10,0.2,pizza,150,150,g,https://d1r9wva3zcpswd.cloudfront.net/553c60269e6799856f9579cf.jpeg,2015-04-26T03:48:54+00:00,null
