brand_name,item_name,brand_id,item_id,upc,item_type,item_description,nf_ingredient_statement,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_potassium,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,metric_qty,metric_uom,images_front_full_url,updated_at,section_ids
Naked,"100% Juice Smoothie, Boosted Blue Machine, No Sugar Added",51db37bc176fe9790a898e18,552742831037c59e17c8ce1d,118100003279,2,null,null,110,10,1,0.5,0,null,null,40,55,2,0,1,24,0,0,15,2,null,30,1,scoop,29.93,29.93,g,https://d1r9wva3zcpswd.cloudfront.net/552742ed6b4d00b5608a82ee.jpeg,2015-04-10T03:26:37+00:00,null
Devonsheer,"Melba Rounds, Sesame 5.25 Oz",51db37ba176fe9790a898d18,51c5497997c3e6efadd5fe88,30684814839,2,Sesame 5.25 Oz,"Organic Wheat Flour, Organic Sesame Seeds, Organic Canola Oil, Sea Salt, Organic Molasses, Yeast, Organic Wheat Gluten, Organic Vinegar. Contains: Wheat.",70,15,2,0,0,null,null,0,100,11,1,0,2,0,0,0,4,null,10,15,G,15,15,g,null,2014-11-24T20:24:24+00:00,null
Colonial Kitchen,Ground Cinnamon,550204781f92d82359348256,550204c4da68c8162286a3f8,776455300209,2,null,null,0,null,0,0,null,null,null,0,0,0,null,0,0,null,null,null,null,null,142,0.25,tsp,0.6,0.6,g,https://d1r9wva3zcpswd.cloudfront.net/550204e554667443629d921e.jpeg,2015-03-12T21:28:05+00:00,null
Del Monte,Fresh Watermelon,51db37b0176fe9790a8983ca,54f4b9a3b86b7cbe42a37b28,717524409102,2,null,null,25,0.9,0.1,0,0,null,null,0,1,6,0,5,0.5,4,10,0,2,null,5,2.7,oz,77,77,g,https://d1r9wva3zcpswd.cloudfront.net/54f4ba4c215c8bf84f7c7b24.jpeg,2015-03-02T19:30:20+00:00,null
Market Basket,"Syrup, Chocolate Flavored",51db37b1176fe9790a8984d0,51c3d9cd97c3e6d8d3b5595f,49705054345,2,Chocolate Flavored,"High Fructose Corn Syrup, Corn Syrup, Water, Sugar, Cocoa, Contains 2% or Less of Potassium Sorbate (a Preservative), Salt, Mono- and Diglycerides (Adds a Trivial Amount of Fat), Polysorbate 60 (an Emulsifier), Xanthan Gum, and Vanillin (an Artificial Flavor).",100,0,0,0,0,null,null,0,20,23,1,16,1,0,0,0,6,null,36,2,tablespoons,38,38,g,null,2014-11-24T20:24:24+00:00,null
Farm Fresh,Grade AA Large Eggs,51db37d7176fe9790a899fe7,5617eb41c94d5866786b9a97,11166636064,2,null,null,70,40,4.5,1.5,0,null,null,215,65,1,null,null,6,6,0,2,4,null,18,1,egg,50,50,g,https://d1r9wva3zcpswd.cloudfront.net/5617ebf84a37e6ad4d0c9fa3.jpeg,2015-10-09T16:29:01+00:00,null
Toll House,Toll House Ultimates Pecan Turtle Delight,51db37c9176fe9790a8995ea,51d2f88ecc9bff111580c911,50000009282,2,Turtle,"Bleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, Sugar, Nestle Toll House Morsels (Semi-Sweet Chocolate [Sugar, Chocolate, Cocoa Butter, Milkfat, Soy Lecithin, Vanillin -an Artificial Flavor, Natural Flavor]), Margarine (Palm Oil, Water, Sunflower Oil, Hydrogenated Cottonseed Oil, Salt, Vegetable Mono Diglycerides, Soy Lecithin, Natural! Artificial Flavors, Vitamin A Palmitate Added, Beta Carotene [Color], Whey), Caramel Filling (High Fructose Corn Syrup, Fructose, Water, Partially Hydrogenated Soybean and Cottonseed Oils, Dextrose, Modified Cornstarch, Modified Tapioca Starch, Glycerin, Natural Flavor [with Milk and Soy], Cornstarch, Cellulose Gel, Caramel Color, Salt, Mono - and Diglycerides, Cellulose Gum, Potassium Sorbate, Datem, Sot Lecithin, Yellow 6, Red 40), Pecans, Water, Corn Syrup Solids, Molasses, Eggs, Baking Soda (Contains Sot Lecithin), Salt, Sodium Aluminum Phosphate, Vanilla Extract, Vanillin - an Artificial Flavor.",170,80,9,4,0,null,null,5,170,21,1,11,2,2,0,2,4,null,12,1,cookie,38,38,g,https://d1r9wva3zcpswd.cloudfront.net/536014b617e5c5f951b9b303.jpeg,2014-11-24T20:24:24+00:00,null
Schoep's,"Ice Cream, Mint Chocolate Chip",51db3810176fe9790a89b222,55c258ace8512be77f3130c4,72623005151,2,null,null,110,25,3,1.5,0,null,null,15,75,19,1,15,3,4,0,10,0,null,32,0.5,cup,65,65,g,https://d1r9wva3zcpswd.cloudfront.net/55c25b0e11b613614b4c113c.jpeg,2015-08-05T18:50:54+00:00,null
Marketside,"Bread, Sesame Seed French",51db37c9176fe9790a899692,51c54cad97c3e6efadd61840,78742981994,2,Sesame Seed French,"French Bread: Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Yeast. Contains Less Than 2% of The Following: High Fructose Corn Syrup, Salt, Soybean Oil, Sodium Aluminum Phosphate, Baking Soda, Dough Conditioners (Datem, Ammonium Sulfate, Calcium Sulfate, Ascorbic Acid, Enzymes, Potassium Iodate, Azodicarbonamide, L-Cysteine Hydrochloride). Sesame Seed Topping: Sesame Seed. Contains: Wheat, Soy.",120,5,1,0,0,null,null,0,280,24,1,1,5,0,0,0,8,null,10,46,G,46,46,g,null,2014-11-24T20:24:24+00:00,null
Medi WEightloss,"Chocolate Sensations, Dark Chocolate Coffee",545ce7be90529ba36e4e1e71,551754c815d392fc463af30b,857723004385,2,null,null,40,30,3,2,0,null,null,0,0,4,0.5,0,0.5,0,0,1,3,null,14,1,piece,8,8,g,https://d1r9wva3zcpswd.cloudfront.net/551756244d8d0fc71bfd5d9e.jpeg,2015-03-29T01:32:20+00:00,null
